name,videoUrl,imageUrl,instruction,componentIds,categories,prescriptions,patterns,bodyRegions,equipment,loadingSides,locations,liftPriorities,movementDirections,Column1,disabled
Half Kneeling Cable Chop [high-low] - KS,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling Cable Chop [high-low] - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c385aa21-85e4-4b69-858d-406dfbd3f106.png,Squeeze the glute of the back leg. Chest out and keep shoulders back. Squeeze core to avoid rotation while you move.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,,,,,"gym,mobile",assistance,,,TRUE
Half Kneeling Cable Chop [low-high] - KS,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling Cable Chop [low-high] - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_15c491b8-ad18-40c3-b624-2bf853c8ea97.png,Squeeze the glute of the back leg. Chest out and keep shoulders back. Don&#x27;t move the trunk while pulling.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,,,,,"gym,mobile",assistance,,,TRUE
Half Kneeling Hip Flexor Stretch,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling Hip Flexor Stretch.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_84dbe4a9-b732-4cc0-b878-e52152556373.png,Squeeze the glute|| keeping hips forward. Hips moves forward gently without loosing glute activation. Hand up on the back leg side.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,,,,,"gym,pitch,mobile",,,,TRUE
Half Kneeling Landmine Press - LM,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,,,,,,,,,TRUE
Half Kneeling OHP - DB,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling OHP - DB.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,press,upper,bodyweight:pull-up-bar,bilateral,"pitch,gym,mobile",assistance,,,TRUE
Half Kneeling Pallof Press - KS,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling Pallof Press - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_83a787b7-10a1-4cf1-8ae6-e79911e4f674.png,Squeeze the glute of the back leg. Chest out and keep shoulders back. Squeeze core to avoid rotation while you move.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,upper,functional:keiser,,,,,,TRUE
Half Kneeling Pulldown - KS,,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,upper,bodyweight:pull-up-bar,,gym,supplemental,,,TRUE
Half Kneeling SA Horizontal Row - KS,,,Squeeze the back leg glute. Chest out to stablize shoulder. Drive the elbow down and back. Avoid movement of the trunk.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,pull,upper,functional:keiser,,gym,assistance,,,TRUE
Half Kneeling Windmill Slam - MB,https://iamaspire.aspire.qa/ExerciseVideo/Half Kneeling Windmill Slam - MB.mp4,,,strength:corrective:spine,strength:corrective:spine,mb-drills-uni,press,upper,free-weight:medicine-ball,,,,,,TRUE
Half Squat - FW[D11],https://iamaspire.aspire.qa/ExerciseVideo/Half Squat - FW[D11].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7bc64796-8a2d-4761-af7f-b99b3f341a23.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,functional:box,,gym,,,,TRUE
Half Squat - IB,https://iamaspire.aspire.qa/ExerciseVideo/Half Squat - IB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_9594ab00-b218-4902-8250-d7ec22c867e9.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,,gym,assistance,,,TRUE
Half Squat - KS,https://iamaspire.aspire.qa/ExerciseVideo/Half Squat - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5ec36e7b-0be5-46e0-9c43-208f6d038ded.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,functional:keiser,,gym,assistance,,,TRUE
Half Squat - Partner,https://iamaspire.aspire.qa/ExerciseVideo/Half Squat - Partner.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,,"gym,pitch",supplemental,,,TRUE
Half Squat - VBT,,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,functional:box,,gym,,,,TRUE
Half Squat - WB,https://iamaspire.aspire.qa/ExerciseVideo/Half Squat - WB.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,,gym,assistance,,,TRUE
Half Squat Taps - BW,https://iamaspire.aspire.qa/ExerciseVideo/Half Squat Taps - BW.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_193d40e5-a6d7-4e6c-bb6b-641d9cbce5e9.png,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,squat,lower,strength:barbells:olympic,,"gym,pitch,mobile",assistance,,,TRUE
Hamstring - FoamRoller,https://iamaspire.aspire.qa/ExerciseVideo/Hamstring - FoamRoller.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_a97ae3e5-9e96-45f8-8fff-2c7ee7f7d3a4.png,Search trigger points|| push on it keeping the pressure constant. Scale of pain out of 10 never more than 8 release it until 3-4.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,lower,,,,,,,TRUE
Hamstring Bridge Drop-Catch [long lever],https://iamaspire.aspire.qa/ExerciseVideo/Hamstring Bridge Drop-Catch [long lever].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_cf3ddf5e-5226-4de9-850a-24f841282993.png,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,dl-hinge,lower,free-weight:medicine-ball,,"gym,pitch,mobile",supplemental,,,TRUE
Hamstring Leg Curl - YB,https://iamaspire.aspire.qa/ExerciseVideo/Hamstring Leg Curl - YB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_33cb4689-7e51-442e-90c2-31f1d4f68496.png,Push the floor with the hands and strong core. Squeeze the glutes and lift the hip up. Roll the fitball away from the body and keep the hip high.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,lower,functional:stability-ball,,,,,,TRUE
"Hamstring Leg Curl [1down, 2up] - YB","https://iamaspire.aspire.qa/ExerciseVideo/Hamstring Leg Curl [1down, 2up] - YB.mp4",https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_77893808-0e45-4f65-a356-ef2ff5a79514.png,Push the floor with the hands and strong core. Squeeze the glutes and lift the hip up. Roll the fitball away from the body and keep the hip high.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,,lower,functional:stability-ball,,,,,,TRUE
Hamstring Leg Curl [ECC only] - YB,https://iamaspire.aspire.qa/ExerciseVideo/Hamstring Leg Curl [ECC only] - YB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_573ad685-293e-40f0-aed5-2a174695bec3.png,Push the floor with the hands and strong core. Squeeze the glutes and lift the hip up. Roll the fitball away from the body and keep the hip high.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,lower,functional:stability-ball,,,,,,TRUE
Hang Alternating Lateral Squat - Landmine,https://iamaspire.aspire.qa/ExerciseVideo/Hang Alternating Lateral Squat - Landmine.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_33089f20-7590-449f-a171-f237fb2152b2.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,,,gym,assistance,,,TRUE
Hang Leg Raise,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,,,,,,,,TRUE
Hang Split Squat - Landmine,https://iamaspire.aspire.qa/ExerciseVideo/Hang Split Squat - Landmine.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_888bd5c4-a93a-4ee6-8142-4c8b0862014b.png,Stand on the side. Hold the bar with one hand. Chest out and squeeze the core. Back leg toes remain on the floor all time. Squeeze the back leg glute for the whole movement. Be nice and tall.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,squat,lower,bodyweight:pull-up-bar,,gym,assistance,,,TRUE
Hang Squat - Landmine,https://iamaspire.aspire.qa/ExerciseVideo/Hang Squat - Landmine.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_03e49488-3cad-40c2-b354-ce914f039ed0.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,free-weight:power-band,,gym,supplemental,,,TRUE
Heel Flicks,https://iamaspire.aspire.qa/ExerciseVideo/Heel Flicks.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_31fb89f9-5ded-4cd3-92e8-912f4e892344.png,Run in the place bending your knees violently to touch buttocks with your heals. Stay tall and quick.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,run,lower,bodyweight:pull-up-bar,,,,,,TRUE
Heel Walk,https://iamaspire.aspire.qa/ExerciseVideo/Heel Walk.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_175e61f0-8350-4340-a7a3-61dfb0191670.png,Chest out and squeeze the core. Raise the heel as high as possible during walking. Move slow and controlled.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,walk,lower,bodyweight:pull-up-bar,,,,,,TRUE
High Knee Run - IB,https://iamaspire.aspire.qa/ExerciseVideo/High Knee Run - IB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f2196cfd-0395-48fa-9541-18d87c113ee2.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,run,total,free-weight:medicine-ball,,,,,,TRUE
High Knee Run to Sprinter Plank - Wall,https://iamaspire.aspire.qa/ExerciseVideo/High Knee Run to Sprinter Plank - Wall.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_ce70fca2-1b39-4713-82af-14fb87dd3605.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,core,free-weight:medicine-ball,,"gym,pitch,mobile",,,,TRUE
High Knees,https://iamaspire.aspire.qa/ExerciseVideo/High Knees.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_148267d7-2696-4d8e-b8dc-cb26ad493aec.png,Run with high knee in the place. Stay tall and maintain short ground contact (think of ground is hot),strength:corrective:spine,strength:corrective:spine,ext-load-bil,,total,bodyweight:pull-up-bar,,,,,,TRUE
High Knees [lateral],https://iamaspire.aspire.qa/ExerciseVideo/High Knees [lateral].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f7045555-87a5-4181-bb1a-3b2ad9d1f554.png,Run side to side with high knees. Push always from the outside leg.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,run,total,bodyweight:pull-up-bar,,,,,,TRUE
High Knees 45° Resisted - EC,https://iamaspire.aspire.qa/ExerciseVideo/High Knees 45° Resisted - EC.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d0835731-8823-4073-842c-36ff7a019253.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,run,lower,,,,,,,TRUE
High Plank Hold,https://iamaspire.aspire.qa/ExerciseVideo/High Plank Hold.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,TRUE
High Plank In&Out Rotation,https://iamaspire.aspire.qa/ExerciseVideo/High Plank In&Out Rotation.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d1ab188e-d0c9-4105-a10f-a3081d5d528c.png,Chest out|| squeeze glutes and core strong. Avoid rotation of the hip. Keep the end position for few seconds. Move slowly.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,torsion,total,bodyweight:pull-up-bar,,,,,,TRUE
High Plank Partner Ground Tag,https://iamaspire.aspire.qa/ExerciseVideo/High Plank Partner Ground Tag.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,TRUE
High Plank Partner MB Pass [frontal],https://iamaspire.aspire.qa/ExerciseVideo/High Plank Partner MB Pass [frontal].mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,bodyweight:pull-up-bar,,gym,,,,TRUE
High Plank Partner MB Pass [lateral],https://iamaspire.aspire.qa/ExerciseVideo/High Plank Partner MB Pass [lateral].mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,torsion,total,strength:smith,,,,,,TRUE
High Plank Shoulder Taps,https://iamaspire.aspire.qa/ExerciseVideo/High Plank Shoulder Taps.mp4,,"Extend the knees, squeeze glutes, brace core, tap slow, no hip sway.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,,,,"gym,pitch,mobile",corrective,,,TRUE
High Plank w Alternating Hip Flexion,https://iamaspire.aspire.qa/ExerciseVideo/High Plank w Alternating Hip Flexion.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5eb1d860-7ee9-4fed-8296-06a2b1d2a63e.png,Start in press up position|| with shoulders over wrists and strong core. Alternating knees to elbows in a running pattern. Maintain strong posture from shoulder to ankle.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,total,bodyweight:pull-up-bar,,,,,,TRUE
High Plank w Alternating Hip Flexion - TRX,https://iamaspire.aspire.qa/ExerciseVideo/High Plank w Alternating Hip Flexion - TRX.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f78f7410-e86e-4831-9dd6-54998f823dff.png,Chest out and keep back straight. Actively squeeze core muscles. Avoid movement of the hip and trunk during movement.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,,,,,,,,TRUE
High Plank w Drag Through - SandBag,https://iamaspire.aspire.qa/ExerciseVideo/High Plank w Drag Through - SandBag.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_6a72cea5-e79e-475b-a834-f6d8a5ff338c.png,Chest out|| squeeze glutes and core strong. Avoid rotation while pulling the bag. Open more the legs if you need help.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,core,free-weight:sandbags,,,,,,TRUE
High Plank w Knee Tuck - TRX,https://iamaspire.aspire.qa/ExerciseVideo/High Plank w Knee Tuck - TRX.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d34d905a-e03c-459b-88e8-21fc32d2e612.png,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,dl-hinge,lower,bodyweight:pull-up-bar,,"gym,pitch,mobile",supplemental,linear,,TRUE
High Plank w Knee Tuck - YB,https://iamaspire.aspire.qa/ExerciseVideo/High Plank w Knee Tuck - YB.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,carry,core,strength:barbells:olympic,,,,,,TRUE
High Plank Walkout,https://iamaspire.aspire.qa/ExerciseVideo/High Plank Walkout.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_2f853105-1328-40d8-921a-2185f6b5e22d.png,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,TRUE
High Side Plank,https://iamaspire.aspire.qa/ExerciseVideo/High Side Plank.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_14beb845-9af0-4085-ac39-901c3d43ce84.png,Chest out|| squeeze glutes and core strong. Shoulder and elbow same line. Hip remain high and rotated forward.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,crawl,core,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,TRUE
High to Low Plank,https://iamaspire.aspire.qa/ExerciseVideo/High to Low Plank.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_0010511b-bbba-4293-8fcd-7525fc63c52f.png,Chest out and keep back straight. Actively squeeze core muscles. Avoid rotation of the hip and trunk during movement.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,TRUE
Hip Circles,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,total,,,,,,,TRUE
Hip Hinge - BW,https://iamaspire.aspire.qa/ExerciseVideo/Hip Hinge - BW.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,strength:dumbbells:regular,,"gym,pitch,mobile",assistance,,,TRUE
Hip Hinge w Stick,https://iamaspire.aspire.qa/ExerciseVideo/Hip Hinge w Stick.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_9fa31c95-6597-409b-aee5-748261fcb44d.png,Keep in contact with stick. Elbows back and unlock knees. Drive the hip all the way back. Come back to the starting position squeezing glutes.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,,,"pitch,gym,mobile",,,,TRUE
Hip Push-Rotation - KS,https://iamaspire.aspire.qa/ExerciseVideo/Hip Push-Rotation - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_11909c6d-95ef-4631-8dd7-be53cf9ad691.png,Chest out|| keep shoulders back. Rotate and extent the hips to produce the movement. Arms are relaxed.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,dl-hinge,lower,functional:keiser,,gym,assistance,,,TRUE
Hip Thrust - BB,https://iamaspire.aspire.qa/ExerciseVideo/Hip Thrust - BB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_6b8c2beb-6c4d-4a34-9693-a9265ba03f6c.png,Place the upper back on bench. Align the knees perpendicular and above the feet. Make sure the glute is used to push the bar. Push with the heel.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,,,gym,,,,TRUE
Hip Thrust - BW,https://iamaspire.aspire.qa/ExerciseVideo/Hip Thrust - BW.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_bc5415c0-625f-4af6-afa3-1080b61fe81f.png,Place the upper back on bench. Align the knees perpendicular and above the feet. Make sure the glute is used to push the bar. Push with the heel.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,strength:bench:flat,,gym,assistance,,,TRUE
Hip Thrust - SandBag,https://iamaspire.aspire.qa/ExerciseVideo/Hip Thrust - SandBag.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_9058261b-366c-4cca-a798-701354b6db22.png,Place the upper back on bench. Align the knee perpendicular and above the feet. Make sure the glute is used to push the plate. Push with the heel.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,functional:stability-ball,,gym,assistance,,,TRUE
In&Out Skipping,https://iamaspire.aspire.qa/ExerciseVideo/In&Out Skipping.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_a08a68eb-75b1-439b-982e-910190e63280.png,Start in a athletic position. Imagine a speed ladder. Step outside the imaginary square with one foot at a time and then have two touches inside the square. Then step outside with the other foot.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,,total,bodyweight:pull-up-bar,bipedal,"pitch,gym,mobile",,,,TRUE
Incline Bench DB Row,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,upper,,bilateral,,,,,TRUE
Incline Bench Press - DB,https://iamaspire.aspire.qa/ExerciseVideo/Incline Bench Press - DB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f353fe69-50fc-4157-9a10-ed96871aaace.png,Keep the shoulder 45 degree when you lower DB. Chest out to stablize shoulder. Lower DB slowly and push up db powerful and quick.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,press,upper,strength:dumbbells:regular,bilateral,gym,supplemental,,,TRUE
Incline Push Up,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,press,upper,,,,,,,TRUE
Inverted Bar Row - BW,https://iamaspire.aspire.qa/ExerciseVideo/,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,upper,,bilateral,"pitch,gym,mobile",,,,TRUE
ISO Calf Raise - KS,https://iamaspire.aspire.qa/ExerciseVideo/ISO Calf Raise - KS.mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-bil,push,lower,strength:dumbbells:regular,,,,,,TRUE
ISO Copenhagen [long lever],https://iamaspire.aspire.qa/ExerciseVideo/ISO Copenhagen [long lever].mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,push,core,free-weight:power-band,monopedal,"pitch,gym,mobile",assistance,,,TRUE
ISO Copenhagen [short lever],https://iamaspire.aspire.qa/ExerciseVideo/ISO Copenhagen [short lever].mp4,,,strength:corrective:spine,strength:corrective:spine,ext-load-uni,push,core,free-weight:medicine-ball,,"pitch,gym,mobile",,,,TRUE
ISO Half Squat - KS,,,Hold/Push squat position with approximately 90° degrees angel at the knee,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,bilateral,gym,supplemental,,,TRUE
ISO Hamstring Bridge [long lever],,,"Feet dorsiflexed, heel actively pushing down into the floor. Hips high. Knee angle is around 130°.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,strength:kettlebells,bilateral,"gym,pitch,mobile",assistance,,,TRUE
ISO Hamstring Bridge [short lever],https://iamaspire.aspire.qa/ExerciseVideo/ISO Hamstring Bridge [short lever].mp4,,"Feet dorsiflexed, heel actively pushing down into the floor. Hips high. Knee angle is around 100°.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,lower,functional:box,,"gym,pitch,mobile",assistance,,,TRUE
ISO Mid-Thigh Pull [Rack] - BB,https://iamaspire.aspire.qa/ExerciseVideo/ISO Mid-Thigh Pull [Rack] - BB.mp4,,"Bar fixed at mid-thigh level. Feet hip-width apart, bar over midfoot. Shoulder slightly over the bar, back flat, chest up. Drive through the floor with legs and maximal effort for 3-5sec.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,free-weight:power-band,bilateral,gym,assistance,,,TRUE
ISO Quarter Squat - KS,https://iamaspire.aspire.qa/ExerciseVideo/ISO Quarter Squat - KS.mp4,,Hold/Push squat position with approximately 130° degrees angel at the knee.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,bilateral,gym,assistance,,,TRUE
ISO SL Calf Raise - KS,https://iamaspire.aspire.qa/ExerciseVideo/ISO SL Calf Raise - KS.mp4,,Press through the big toe and hold top position of a calf raise (heel as high as possible). Knee is extended but not locked. Maintain a tall posture.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,run,lower,functional:partner,monopedal,gym,assistance,,,TRUE
ISO SL Calf Raise Switch - KS,https://iamaspire.aspire.qa/ExerciseVideo/ISO SL Calf Raise Switch - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5ceff93f-8ecf-40ed-a12e-83f2aa148bfb.png,Press through the big toe and hold top position of a calf raise (heel as high as possible). Knee is extended but not locked. Maintain a tall posture. Quickly change the leg while trying to keep same hip height.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,run,lower,strength:barbells:olympic,monopedal,gym,assistance,,,TRUE
ISO SL Glute Bridge w Knee Extension,https://iamaspire.aspire.qa/ExerciseVideo/ISO SL Glute Bridge w Knee Extension.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_191ea453-f789-4827-80f3-4cb5ac2c40f8.png,Push hands against the floor. Raise hip up through the glute. Push the ground with the heel. Avoid pelvic drop during knee extension.,strength:general:concentric,strength:corrective:spine,ext-load-uni,dl-hinge,lower,bodyweight:pull-up-bar,,"gym,pitch,mobile",assistance,,,TRUE
ISO SL Squat - IB,https://iamaspire.aspire.qa/ExerciseVideo/ISO SL Squat - IB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_576c9615-0289-4f1f-9a0d-2d533d965d75.png,Lean back to the belt while holding ISO Squat position. Lift one leg of the ground and maintain position.,strength:corrective:spine,strength:corrective:spine,ext-load-uni,squat,lower,bodyweight:pull-up-bar,,"pitch,gym",assistance,,,TRUE
ISO Split Squat Hold,https://iamaspire.aspire.qa/ExerciseVideo/ISO Split Squat Hold.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_6ccd1cd4-3880-431f-8697-b06251654401.png,Start in a split leg position|| with one leg forward and one leg back. Flex your knees and lower your hips|| until the back knee is just above the floor. Hold the position as long as prescribed,strength:corrective:spine,strength:corrective:spine,ext-load-uni,squat,lower,bodyweight:pull-up-bar,,"gym,pitch,mobile",assistance,,,TRUE
ISO Split Squat Pallof Press - KS,https://iamaspire.aspire.qa/ExerciseVideo/ISO Split Squat Pallof Press - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_016d5be8-af79-4c49-8cf2-690b9ca741e8.png,"Hold Split Squat position lateral to the cable line. Brace the core, keep ribs down and stay tall. Press the handle straight out from your chest and resist rotation.",strength:corrective:spine,strength:corrective:spine,ext-load-uni,torsion,"total,core",functional:keiser,,gym,assistance,,,TRUE
ISO Split Squat w Rotation - FW[V12],https://iamaspire.aspire.qa/ExerciseVideo/ISO Split Squat w Rotation - FW[V12].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_fe43fd95-e03b-422a-81a0-b9487c974841.png,"Hold Split Squat position lateral to the cable line. Brace the core, keep ribs down and stay tall. Rotate from the core and maintain balance.",strength:corrective:spine,strength:corrective:spine,ext-load-uni,torsion,"total,core",functional:keiser,,gym,,,,TRUE
ISO Squat 90° - FD,,,Feet shoulder-width apart. Get into position of squat with knees at 90°. Push the floor down with max. intent and maintain full-body tension.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,,bilateral,gym,supplemental,,,TRUE
ISO Squat Hold,https://iamaspire.aspire.qa/ExerciseVideo/ISO Squat Hold.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_cc825e74-12f8-4895-8a29-24d6ff57a782.png,Hold the squat position. Focus on foot placement shoulder width|| knee alignment|| chest out and back straight. 90 to 120 degree angle,strength:corrective:spine,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,bilateral,"gym,pitch,mobile",assistance,,,TRUE
